STVTERM_CODE,STVTERM_DESC,STVTERM_ACYR_CODE
195710,Fall 1956,1957
195640,Summer 1956,1956
195630,Spring 1956,1956
195610,Fall 1955,1956
195540,Summer 1955,1955
195530,Spring 1955,1955
195510,Fall 1954,1955
195440,Summer 1954,1954
195430,Spring 1954,1954
195410,Fall 1953,1954
195340,Summer 1953,1953
195330,Spring 1953,1953
195310,Fall 1952,1953
195240,Summer 1952,1952
195230,Spring 1952,1952
195210,Fall 1951,1952
195140,Summer 1951,1951
195130,Spring 1951,1951
195110,Fall 1950,1951
195040,Summer 1950,1950
195030,Spring 1950,1950
195010,Fall 1949,1950
194940,Summer 1949,1949
194930,Spring 1949,1949
194910,Fall 1948,1949
194840,Summer 1948,1948
194830,Spring 1948,1948
194810,Fall 1947,1948
194740,Summer 1947,1947
194730,Spring 1947,1947
194710,Fall 1946,1947
194640,Summer 1946,1946
194630,Spring 1946,1946
194610,Fall 1945,1946
194540,Summer 1945,1945
194530,Spring 1945,1945
194510,Fall 1944,1945
194440,Summer 1944,1944
194430,Spring 1944,1944
194410,Fall 1943,1944
194340,Summer 1943,1943
194330,Spring 1943,1943
194310,Fall 1942,1943
194240,Summer 1942,1942
194230,Spring 1942,1942
194210,Fall 1941,1942
194140,Summer 1941,1941
194130,Spring 1941,1941
194110,Fall 1940,1941
194040,Summer 1940,1940
194030,Spring 1940,1940
194010,Fall 1939,1940
193940,Summer 1939,1939
193930,Spring 1939,1939
193910,Fall 1938,1939
193840,Summer 1938,1938
193830,Spring 1938,1938
193810,Fall 1937,1938
193740,Summer 1937,1937
193730,Spring 1937,1937
193710,Fall 1936,1937
193640,Summer 1936,1936
193630,Spring 1936,1936
193610,Fall 1935,1936
193540,Summer 1935,1935
193530,Spring 1935,1935
193510,Fall 1934,1935
193440,Summer 1934,1934
193430,Spring 1934,1934
193410,Fall 1933,1934
193340,Summer 1933,1933
193330,Spring 1933,1933
193310,Fall 1932,1933
193240,Summer 1932,1932
193230,Spring 1932,1932
193210,Fall 1931,1932
193140,Summer 1931,1931
193130,Spring 1931,1931
193110,Fall 1930,1931
193040,Summer 1930,1930
193030,Spring 1930,1930
193010,Fall 1929,1930
192940,Summer 1929,1929
192930,Spring 1929,1929
192910,Fall 1928,1929
192840,Summer 1928,1928
192830,Spring 1928,1928
192810,Fall 1927,1928
192740,Summer 1927,1927
192730,Spring 1927,1927
111111,AR Conversion Term,0
111110,FacSS Access Dates,9999
0,The Beginning of Time,0
